participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669ea1d6c3f84,level_A,17,431,13,100,100,92,,98.46153846153848,21,Red,Red,Red,1,4
669ea1d6c3f84,level_A,17,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,5
669ea1d6c3f84,level_A,17,409,15,15,3,8,,13.846153846153848,3,Black,Black,Black,1,6
669ea1d6c3f84,level_A,17,425,16,5,93,69,,81.53846153846153,19,Red,Red,Red,1,7
669ea1d6c3f84,level_A,17,424,17,38,38,69,,56.92307692307692,7,Black,Black,Red,-1,6
669ea1d6c3f84,level_A,17,421,18,86,86,54,,66.15384615384615,16,Red,Red,Black,-1,5
669ea1d6c3f84,level_A,17,422,19,29,29,62,,49.23076923076923,6,Black,Black,Black,1,6
669ea1d6c3f84,level_A,17,429,20,100,100,85,,96.92307692307692,21,Red,Red,Red,1,7
669ea1d6c3f84,level_A,17,428,21,50,50,85,,72.3076923076923,10,Black,Black,Red,-1,6
669ea1d6c3f84,level_A,17,426,22,40,40,77,,64.61538461538461,7,Black,Black,Red,-1,5
669ea1d6c3f84,level_A,17,427,23,100,100,77,,89.23076923076924,21,Red,Red,Red,1,6
669ea1d6c3f84,level_A,17,410,24,0,0,15,,3.076923076923077,0,Black,Black,Black,1,7
669ea1d6c3f84,level_A,17,411,25,38,38,15,,27.692307692307693,8,Black,Black,Red,-1,6
669ea1d6c3f84,level_A,17,430,26,50,50,92,,86.15384615384616,12,Red,Red,Red,1,7
669ea1df424c2,level_A,6,-2,0,0,0,0,,0.0,0,Black,Black,Black,1,1
669ea1df424c2,level_A,6,-3,1,82,64,54,,60.0,14,Red,Red,Black,-1,0
669ea1df424c2,level_A,6,155,2,65,65,46,,58.46153846153847,18,Red,Black,Black,1,1
669ea1df424c2,level_A,6,163,3,5,72,77,,89.23076923076924,18,Black,Red,Red,1,2
669ea1df424c2,level_A,6,151,4,61,61,31,,43.07692307692308,13,Red,Red,Red,1,3
